优先级,DPP品类,公开海关页面是否已有数量,建议去海关查询页补拉的维度,建议优先数量单位,查询目标,备注
P1,电池,否,出口/欧盟/2024-2025/电池及相关子目,GWh或个/组/只,拿到对欧真实出口数量,当前公开公报没有直接给出对欧电池数量
P1,纺织服装,否,出口/欧盟/2024-2025/纺织纱线织物及制品,件/千克,拿到对欧真实出口件数或重量,件数优先
P1,轮胎/橡胶制品,否,出口/欧盟/2024-2025/轮胎或橡胶制品,条/件/吨,拿到对欧真实数量,条数优先
P1,钢铁及钢制品,否,出口/欧盟/2024-2025/钢铁及其制品,吨,拿到对欧真实吨数,后续再折算到卷/板/束/托盘
P1,铝制品,部分是,出口/欧盟/2024-2025/未锻轧铝及铝材,吨,把全国公开数量进一步拆成欧盟口径,全国总量已可公开获取
P1,消费电子/电子电器,部分是,出口/欧盟/2024-2025/手机/家电零部件/服务器/电子元件,台/个/块,拆出对欧真实数量,公开页面只有手机/集成电路等部分品类全国总量
P2,家具,否,出口/欧盟/2024-2025/家具及其零件,件/套,拿到对欧真实件数或套数,公开公报通常只有金额
P2,玩具,否,出口/欧盟/2024-2025/玩具、游戏品、运动用品,件,拿到对欧真实件数,公开公报通常只有金额
P2,纸张/木制品,否,出口/欧盟/2024-2025/纸浆纸及其制品/木制品,件/吨,拿到对欧真实数量,按包/板/件进一步映射
P2,医疗设备,否,出口/欧盟/2024-2025/医疗仪器及器械,台/件,拿到对欧真实数量,公开公报通常只有金额
P3,塑料/包装,否,出口/欧盟/2024-2025/塑料及其制品,件/吨,拿到对欧真实数量,包装单元数优先
P3,化工/清洁剂/个人护理,否,出口/欧盟/2024-2025/清洁剂/个人护理相关子目,件/升/千克,拿到更接近零售单元的数量,需按子类拆分
