年份,场景,品类,阶段,启动系数,活跃计费单元(百万),活跃企业数,一码单价(RMB),一码渗透率,一码收入(百万元)
2027,坏,电池,当前已明确覆盖,0.35,117.08,1704.0,2.5,10.0%,29.27
2027,坏,消费电子/电子电器,当前已明确覆盖,0.65,632.56,8179.0,0.12,10.0%,7.59
2027,坏,纺织服装,当前已明确覆盖,0.35,1715.7,16386.0,0.02,10.0%,3.43
2027,坏,轮胎/橡胶制品,近期即将纳入,0.35,52.7,546.0,0.15,10.0%,0.79
2027,坏,钢铁及钢制品,近期即将纳入,0.65,117.75,3381.0,0.12,10.0%,1.41
2027,坏,铝制品,近期即将纳入,0.35,27.91,546.0,0.12,10.0%,0.33
2028,中,电池,当前已明确覆盖,0.65,239.17,3290.0,4.0,20.0%,191.34
2028,中,消费电子/电子电器,当前已明确覆盖,1.0,1031.55,12885.0,0.25,20.0%,51.58
2028,中,纺织服装,当前已明确覆盖,0.65,3345.61,31040.0,0.04,20.0%,26.76
2028,中,轮胎/橡胶制品,近期即将纳入,0.65,101.78,1035.0,0.3,20.0%,6.11
2028,中,钢铁及钢制品,近期即将纳入,1.0,186.58,5306.0,0.25,20.0%,9.33
2028,中,铝制品,近期即将纳入,0.65,53.39,1035.0,0.25,20.0%,2.67
2028,中,家具,近期即将纳入,0.35,135.55,3714.0,0.2,20.0%,5.42
2028,中,塑料/包装,近期即将纳入,0.35,799.1,2229.0,0.04,20.0%,6.39
2029,好,电池,当前已明确覆盖,1.0,404.76,5264.0,6.0,30.0%,728.56
2029,好,消费电子/电子电器,当前已明确覆盖,1.0,1093.45,13194.0,0.45,30.0%,147.62
2029,好,纺织服装,当前已明确覆盖,1.0,5404.44,48709.0,0.06,30.0%,97.28
2029,好,轮胎/橡胶制品,近期即将纳入,1.0,162.84,1624.0,0.5,30.0%,24.43
2029,好,钢铁及钢制品,近期即将纳入,1.0,192.18,5412.0,0.4,30.0%,23.06
2029,好,铝制品,近期即将纳入,1.0,84.6,1624.0,0.4,30.0%,10.15
2029,好,家具,近期即将纳入,0.65,261.8,7036.0,0.35,30.0%,27.49
2029,好,床垫/寝具,近期即将纳入,0.35,14.74,947.0,0.3,30.0%,1.33
2029,好,塑料/包装,近期即将纳入,0.65,1528.57,4221.0,0.07,30.0%,32.1
2029,好,涂料/洗涤剂,近期即将纳入,0.35,290.9,947.0,0.12,30.0%,10.47
