年份,场景,活跃品类数,活跃计费单元(百万),活跃企业数(去重后),DID渗透率,一码渗透率,DID收入(百万元),一码收入(百万元),Consulting收入(百万元),总营收(百万元)
2030,坏,19,13950.47,87216.0,10.0%,10.0%,8.72,168.68,23.62,201.02
2031,坏,19,17390.23,102064.0,12.0%,12.0%,12.25,240.91,36.14,289.3
2032,坏,19,21171.88,117929.0,14.0%,14.0%,16.51,332.26,53.16,401.93
2033,坏,19,22095.63,120431.0,16.0%,16.0%,19.27,416.76,70.85,506.88
2034,坏,19,23063.84,122989.0,18.0%,18.0%,22.14,514.76,92.66,629.56
2030,中,19,13950.47,89541.0,20.0%,20.0%,17.91,584.32,105.18,707.41
2031,中,19,17390.23,104786.0,22.0%,22.0%,23.05,775.67,147.38,946.1
2032,中,19,21171.88,121074.0,24.0%,24.0%,29.06,1013.54,212.84,1255.44
2033,中,19,22095.63,123643.0,26.0%,26.0%,32.15,1212.91,278.97,1524.03
2034,中,19,23063.84,126268.0,28.0%,28.0%,35.36,1442.86,360.72,1838.93
2030,好,19,13950.47,91867.0,30.0%,30.0%,27.56,1370.4,301.49,1699.45
2031,好,19,17390.23,107508.0,33.0%,33.0%,35.48,1839.37,441.45,2316.3
2032,好,19,21171.88,124219.0,36.0%,36.0%,44.72,2426.9,655.26,3126.88
2033,好,19,22095.63,126854.0,39.0%,39.0%,49.47,2925.52,877.66,3852.65
2034,好,19,23063.84,129548.0,42.0%,42.0%,54.41,3503.82,1121.22,4679.45
